2026-03-03 18:06:33,592 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:06:38,605 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:06:43,613 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:06:48,620 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:06:53,627 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:06:58,633 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:03,638 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:08,643 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:13,649 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:18,654 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:23,661 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
2026-03-03 18:07:28,666 | ERROR | review | RabbitMQ not ready: [Errno -3] Temporary failure in name resolution
